     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 0.0030603 0.00186244 -0.00214549 0.00211664 0.075453 0.00257622 0.073722 0.00265934 -0.155433 0.0068106 -0.251579 0.00425694 -0.209226 0.00708904 -0.242586 0.0063154 0.00105234 0.00668008
350 -0.0316686 0.00531708 -0.0316247 0.00566065 0.00208748 0.00889655 -0.00379214 0.00795108 -0.0978391 0.0145336 -0.207345 0.00947083 -0.183083 0.016619 -0.220987 0.013738 0.0409075 0.0150805
1000 -0.0512234 0.0078317 -0.0537995 0.00754314 -0.0348113 0.012087 -0.0418298 0.0105052 -0.0380337 0.021493 -0.162445 0.0153408 -0.167977 0.0214815 -0.183001 0.0185047 0.0310858 0.0203548
