     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 -0.00675134 0.00226241 -0.0423037 0.00186814 0.0570584 0.00216409 0.0495549 0.00198803 -0.0449923 0.00522355 -0.0577835 0.00406632 -0.0564656 0.00556634 -0.122476 0.00390472 -0.161794 0.0032906
150 -0.0247313 0.00199584 -0.0555871 0.00170432 0.0453406 0.0023083 0.0313537 0.00204582 -0.0491411 0.0047118 -0.0234391 0.0038034 -0.0596518 0.00509698 -0.111834 0.00413055 -0.149935 0.00313419
850 -0.0433843 0.00183554 -0.0706834 0.00144683 0.0276545 0.00182055 0.0166881 0.00175385 -0.0435273 0.00422229 -0.0122019 0.00392447 -0.0580045 0.00451603 -0.100433 0.00383839 -0.146083 0.00275621
