# 1 => Z
# 2 => bilayer atomic density (atom/nm^3)
# 3 => cation  charge density (e/nm^3)
# 4 => anion   charge density (e/nm^3)
# 5 => P       atomic density (atom/nm^3)
# 6 => ratio of frame number  with Lz < |Z|
#----------------------------
-54.0 0.0 2.3087108743227215e-7 3.19699e-07 0.0 0.0005545135723333346
-53.0 0.0 6.077044212252847e-6 6.41595e-06 0.0 0.012422429901999994
-52.0 0.0 5.016621012800463e-5 4.61526e-05 0.0 0.11189713969422223
-51.0 0.0 0.00018911625784046092 0.000196462 0.0 0.404414849123
-50.0 0.0 0.00037363583076482286 0.000380374 0.0 0.7321744940440217
-49.0 0.0 0.0004705177527329789 0.000467922 0.0 0.9164529390046221
-48.0 0.0 0.0004790639841186035 0.000493068 0.0 0.9617781281967888
-47.0 0.0 0.0004896744434873874 0.000488645 0.0 0.9698695119056222
-46.0 0.0 0.0004899031344973218 0.000488569 0.0 0.9739350798951556
-45.0 0.0 0.0004888585251039471 0.000495445 0.0 0.9784630856008779
-44.0 0.0 0.0004751144100368342 0.000487447 0.0 0.9800866238208333
-43.0 0.0 0.0005027161687746982 0.000481086 0.0 0.9844880411904222
-42.0 0.0 0.0004999625894260346 0.000491289 0.0 0.988822819618478
-41.0 0.0 0.0004856115958513021 0.000508927 0.0 0.9915880187619001
-40.0 0.0 0.0005029176737165276 0.000495441 0.0 0.9955746928130554
-39.0 0.0 0.0005073696900643653 0.000501848 0.0 0.9996001357108556
-38.0 0.0 0.0004986123103508908 0.000512505 0.0 1.0
-37.0 0.0 0.0005023984332526651 0.000514792 0.0 1.0
-36.0 0.0 0.0004895978316075194 0.000510087 0.0 1.0
-35.0 1.6533563049258945e-6 0.000467368031262688 0.00051921 0.0 1.0
-34.0 6.908101175971929e-6 0.00043909809757174334 0.000531836 0.0 1.0
-33.0 3.008264065423434e-5 0.0004081922371931103 0.000541723 0.0 1.0
-32.0 0.00011434412850679577 0.00036724279098193267 0.000585739 0.0 1.0
-31.0 0.00038886286826215306 0.0003249868261497753 0.000616576 1.1376613510183722e-7 1.0
-30.0 0.0011163411091581858 0.0003086476066848538 0.000660664 2.3128673978505743e-7 1.0
-29.0 0.0027215314672574364 0.00028953506047882084 0.000708986 1.829327345001991e-6 1.0
-28.0 0.005729433750554101 0.0002745804790977654 0.000724144 8.82527981539952e-6 1.0
-27.0 0.010679162547376676 0.0002891652400570653 0.00072082 3.490354236483491e-5 1.0
