     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 0.0030603 0.00186244 -0.00214549 0.00211664 0.075453 0.00257622 0.073722 0.00265934 -0.155433 0.0068106 -0.251579 0.00425694 -0.209226 0.00708904 -0.242586 0.0063154 0.00105234 0.00668008
150 0.0024476 0.00211214 -0.00394529 0.00189926 0.0696882 0.00251445 0.0733932 0.00234582 -0.127315 0.00686992 -0.254243 0.0040649 -0.205627 0.00721985 -0.229537 0.00694698 0.0195864 0.00703145
1000 -0.00320134 0.00189556 -0.0059824 0.0022175 0.0613939 0.00251572 0.0609197 0.00247579 -0.143512 0.00677419 -0.236545 0.00494658 -0.210144 0.00739047 -0.237018 0.00719344 0.00259358 0.0076245
