     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 -0.0777382 0.008341 -0.0852028 0.00790266 0.029015 0.00825496 0.0353394 0.00956163 -0.242492 0.0111173 -0.251588 0.00980893 -0.198068 0.0149272 -0.191474 0.0140159 -0.0375708 0.0147826
350 -0.084521 0.00433619 -0.0872231 0.00548822 0.0244622 0.0053243 0.0334519 0.00488972 -0.236174 0.00802786 -0.247643 0.0051851 -0.199469 0.00849535 -0.1783 0.010126 -0.0473714 0.00820509
690 -0.0990685 0.00516499 -0.0954179 0.00588786 0.0240075 0.00637052 0.0192403 0.00664357 -0.233843 0.0086115 -0.234314 0.00746486 -0.191029 0.0107192 -0.161458 0.0128619 -0.0335417 0.0087752
950 -0.0952574 0.00517758 -0.0889011 0.00446238 0.0208279 0.00608866 0.0261679 0.00568845 -0.224713 0.00808152 -0.231488 0.00676661 -0.196196 0.010045 -0.169382 0.0117504 -0.0294156 0.00974474
