     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 -0.0221285 0.00281895 -0.0402638 0.00240977 0.0581931 0.00256458 0.0522125 0.00241247 -0.0193673 0.0071197 -0.0192472 0.0047602 -0.0243028 0.00724571 -0.0929414 0.00603866 -0.166736 0.00343568
130 -0.0248414 0.00237217 -0.060173 0.00181651 0.0519415 0.00234486 0.0432855 0.00235523 -0.0253037 0.00583061 -0.0121024 0.00481747 -0.0345702 0.00640736 -0.0891445 0.00513972 -0.155513 0.00382141
