     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 -0.0221285 0.00281895 -0.0402638 0.00240977 0.0581931 0.00256458 0.0522125 0.00241247 -0.0193673 0.0071197 -0.0192472 0.0047602 -0.0243028 0.00724571 -0.0929414 0.00603866 -0.166736 0.00343568
130 -0.0221319 0.00207582 -0.0536455 0.00186856 0.0574145 0.00227156 0.0463937 0.00231949 -0.00526345 0.00628049 -0.0203056 0.00438399 -0.014972 0.00677416 -0.0905575 0.00459706 -0.160536 0.00415086
300 -0.0266461 0.00229115 -0.05753 0.00192807 0.0502505 0.00247855 0.0454373 0.0023513 -0.00484998 0.00616263 -0.0057847 0.00440346 -0.0119844 0.00644261 -0.0786815 0.00505487 -0.158641 0.00354647
500 -0.0298708 0.00230638 -0.061322 0.00168135 0.0478054 0.00218924 0.0369763 0.00231187 -0.0160115 0.00571865 -0.00364977 0.00491772 -0.0229688 0.00611723 -0.0840995 0.00494791 -0.155513 0.00388356
750 -0.03988 0.00228655 -0.065403 0.00190509 0.0423791 0.0025253 0.0311411 0.00243956 -0.0209877 0.00570955 0.00097227 0.0050668 -0.0283196 0.00610813 -0.0807155 0.00535336 -0.1519 0.00407333
1000 -0.0389268 0.0024798 -0.074156 0.00187564 0.0401067 0.002497 0.0296698 0.00236196 -0.0129932 0.00589233 0.00577075 0.00472667 -0.0228018 0.00629573 -0.0763055 0.00519889 -0.155032 0.00400861
