     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 -0.0666512 0.00282814 -0.0569859 0.00328485 0.0395524 0.00475013 0.0489784 0.00486469 -0.226971 0.0134899 -0.21175 0.0104782 -0.224464 0.00942215 -0.249064 0.00435139 -0.0408404 0.00670562
150 -0.073401 0.00308833 -0.0706245 0.00333358 0.0342095 0.00442622 0.0308923 0.00542465 -0.250586 0.0133693 -0.190352 0.0109069 -0.212096 0.0094795 -0.250082 0.00503665 -0.0419895 0.00759008
1000 -0.0934352 0.0031838 -0.0781836 0.00354447 0.0200382 0.00598872 0.0126103 0.0060848 -0.254961 0.0138088 -0.17613 0.0104578 -0.191958 0.00951465 -0.245358 0.00581942 -0.0462434 0.00748493
