     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 0.0373922 0.00334012 0.0666543 0.00359751 0.0930187 0.00474096 0.151657 0.00671933 -0.174842 0.00539879 -0.265716 0.00315051 -0.163065 0.0052155 0.18418 0.00799631 0.0897172 0.00564491
350 0.0240257 0.00970821 0.0213771 0.00750811 0.0587419 0.0117373 0.12917 0.0139158 -0.202052 0.012076 -0.277774 0.00695293 -0.165579 0.012587 0.143467 0.0206181 0.122718 0.014078
