     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 0.0482825 0.00298259 0.0516143 0.00315623 0.0811815 0.0044264 0.148247 0.00606378 -0.239011 0.00375229 -0.173899 0.00478855 -0.183204 0.00460253 0.162164 0.00901244 0.0830701 0.00602275
150 0.0418919 0.00298226 0.0486685 0.00365383 0.0816733 0.0048598 0.135751 0.00605199 -0.240065 0.00357395 -0.17315 0.00486672 -0.175669 0.00508917 0.15519 0.00905592 0.0821269 0.00443058
1000 0.0300949 0.00396913 0.0454328 0.00396029 0.0680646 0.00543998 0.114566 0.00727892 -0.245657 0.00428445 -0.170453 0.004871 -0.177276 0.00521812 0.167978 0.00845787 0.0835021 0.0055268
