     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 0.0482825 0.00298259 0.0516143 0.00315623 0.0811815 0.0044264 0.148247 0.00606378 -0.239011 0.00375229 -0.173899 0.00478855 -0.183204 0.00460253 0.162164 0.00901244 0.0830701 0.00602275
150 0.0346307 0.00385714 0.0397078 0.00372352 0.0666961 0.00473344 0.121653 0.00701608 -0.247728 0.00416952 -0.179518 0.00531193 -0.175926 0.00594177 0.156301 0.0096835 0.0970786 0.00566261
1000 0.0182789 0.00454413 0.0242836 0.00454803 0.0301256 0.00544675 0.0961333 0.00815822 -0.25124 0.00448884 -0.187287 0.00650616 -0.178196 0.00630277 0.159589 0.0129876 0.102838 0.00822328
