     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 0.0411901 0.00521176 0.0689172 0.00568426 0.0973182 0.00765628 0.134146 0.0118706 -0.254343 0.00535256 -0.172838 0.0100832 -0.157121 0.00915102 0.140994 0.0144037 0.0765444 0.0114211
150 0.0308861 0.00807789 0.0416993 0.0066695 0.0648946 0.00843514 0.128713 0.0121128 -0.244938 0.00668729 -0.171933 0.0106019 -0.170536 0.0104539 0.114722 0.0162562 0.076631 0.0106412
1000 -0.00788029 0.0113453 -0.00127287 0.0115395 0.0106094 0.0128591 0.0567833 0.0191137 -0.271203 0.0108587 -0.139988 0.0177057 -0.1452 0.0161696 0.195396 0.022809 0.0531439 0.017961
