     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 0.0411901 0.00521176 0.0689172 0.00568426 0.0973182 0.00765628 0.134146 0.0118706 -0.254343 0.00535256 -0.172838 0.0100832 -0.157121 0.00915102 0.140994 0.0144037 0.0765444 0.0114211
150 0.0413133 0.00418494 0.0564182 0.00497218 0.0891167 0.00625284 0.148431 0.0101761 -0.251657 0.00518177 -0.182599 0.00782514 -0.166396 0.00785087 0.123778 0.012318 0.0847326 0.00869004
1000 0.0271789 0.00548222 0.0441124 0.00562853 0.0535743 0.00729122 0.117659 0.0109537 -0.257649 0.00486238 -0.166203 0.00926459 -0.145443 0.00878753 0.146296 0.0144452 0.0778881 0.0104298
