# 1  => Z 
# 2 => bilayer atomic density (atom/nm^3)
# 3 => cation  charge density (e/nm^3) 
# 4 => anion   charge density (e/nm^3) 
# 5 => P       atomic density (atom/nm^3) 
# 6 => ratio of frame number  with Lz < |Z| 
#----------------------------    
-54.0 0.0 1.1420048362441048e-7 2.16574e-07 0.0 0.0003004782762497268
-53.0 0.0 1.6758470317254307e-5 1.62817e-05 0.0 0.019444261177144734
-52.0 0.0 0.00012733613404420204 0.000131941 0.0 0.12622745107029018
-51.0 0.0 0.0004030694501166078 0.00040928 0.0 0.39156258894182483
-50.0 0.0 0.0007689711568759375 0.000787884 0.0 0.7283062795435497
-49.0 0.0 0.0009973534932837184 0.000992052 0.0 0.9153691157822528
-48.0 0.0 0.001072027410097423 0.00103071 0.0 0.9602158052319034
-47.0 0.0 0.0010490226526434232 0.00105021 0.0 0.9700964956806811
-46.0 0.0 0.001058377434858016 0.00106897 0.0 0.9734379224744706
-45.0 0.0 0.0010652417614544932 0.00106459 0.0 0.9780369010519319
-44.0 0.0 0.0010322139163497386 0.00104979 0.0 0.9808633846102708
-43.0 0.0 0.0010757335142366174 0.00107776 0.0 0.9859352649791967
-42.0 0.0 0.0011021723404126482 0.00108551 0.0 0.9909527013440843
-41.0 0.0 0.001073348699940658 0.00107569 0.0 0.9943696305484174
-40.0 0.0 0.0010923680051675771 0.00108027 0.0 0.9969447933120279
-39.0 0.0 0.0011008270602326645 0.0010919 0.0 0.9998558319271557
-38.0 0.0 0.0011062240065994862 0.00109297 0.0 1.0
-37.0 0.0 0.0010970793305413746 0.00108568 0.0 1.0
-36.0 0.0 0.0011019650001777288 0.00107152 0.0 1.0
-35.0 4.154373944643403e-7 0.0010926714025093491 0.00107735 0.0 1.0
-34.0 4.505362036814712e-6 0.0010870869756677032 0.00109215 0.0 1.0
-33.0 2.9679854488495953e-5 0.0010484110482531096 0.00109014 0.0 1.0
-32.0 0.0001278161417862666 0.0009755340753275443 0.00113307 0.0 1.0
-31.0 0.00044616567813512476 0.000911646631213328 0.00117656 0.0 1.0
-30.0 0.0012799993694800587 0.0007966027799619196 0.00125547 5.985175230954454e-8 1.0
-29.0 0.0031398608473758877 0.0007068488787793628 0.00135225 1.0414843230677653e-6 1.0
-28.0 0.006697919150433374 0.0006363960422627408 0.00139652 6.3191356459030335e-6 1.0
-27.0 0.012366572586016525 0.0006485946733307689 0.00141257 3.651182038896104e-5 1.0
-26.0 0.02008134897647736 0.0006781344571005725 0.00129893 0.0001256353770322577 1.0
-25.0 0.029346698616095755 0.0007456150837147476 0.0010951 0.00035496822859700807 1.0
-24.0 0.038798093912497035 0.0008042766214368209 0.000821319 0.0008151872381883269 1.0
-23.0 0.0474916130339601 0.0009350034682720336 0.000545077 0.0015251376787385523 1.0
-22.0 0.05482930369815045 0.0010208275965209596 0.000316731 0.0022803034768825808 1.0
-21.0 0.060600336135580614 0.0009826873580271959 0.000155102 0.002786011192906468 1.0
-20.0 0.0653437574335799 0.0008552447603095126 7.0515e-05 0.0028377260973179446 1.0
-19.0 0.06960802751990763 0.0006302628199309937 2.8197e-05 0.0024030335682453195 1.0
-18.0 0.07382623253529982 0.00037708906594289805 9.81484e-06 0.0017303409029593565 1.0
-17.0 0.07844896288732363 0.00018400616591665554 3.09459e-06 0.0010363291711413787 1.0
-16.0 0.08353976382032981 9.256888840068091e-5 1.49167e-06 0.0005427649000787527 1.0
-15.0 0.08893510135179027 3.635185596242825e-5 9.20473e-07 0.00023281826424369998 1.0
-14.0 0.09432029632514681 8.241502818828674e-6 3.40099e-07 9.033388918349293e-5 1.0
-13.0 0.09879125912450774 2.3911896982164065e-6 -0 2.9170424316894975e-5 1.0
-12.0 0.1024293215799405 1.1360462181194987e-7 -0 7.037744116278323e-6 1.0
-11.0 0.10496348023417737 0.0 5.7287e-08 1.4404835816365485e-6 1.0
-10.0 0.10621044239253752 0.0 -0 1.1187701766312514e-7 1.0
-9.0 0.10663079949031486 0.0 -0 0.0 1.0
-8.0 0.10646938955617644 0.0 -0 0.0 1.0
-7.0 0.1057904955853223 0.0 -0 0.0 1.0
-6.0 0.10481191450541005 0.0 -0 0.0 1.0
-5.0 0.1032197591362302 0.0 -0 0.0 1.0
-4.0 0.10066841956171607 0.0 -0 0.0 1.0
-3.0 0.09695386891199632 0.0 -0 0.0 1.0
-2.0 0.09225696188982299 0.0 -0 0.0 1.0
-1.0 0.08831340847201163 0.0 -0 0.0 1.0
0.0 0.08663511530230071 0.0 -0 0.0 1.0
1.0 0.08823977890698881 0.0 -0 0.0 1.0
2.0 0.0921611000641793 0.0 -0 0.0 1.0
3.0 0.09701395779159552 0.0 -0 0.0 1.0
4.0 0.10079150570977856 0.0 -0 0.0 1.0
5.0 0.10321119528024257 0.0 -0 0.0 1.0
6.0 0.10497114601285512 0.0 -0 0.0 1.0
7.0 0.10592482703910577 0.0 -0 0.0 1.0
8.0 0.1066353948658804 0.0 -0 0.0 1.0
9.0 0.10670197404949795 0.0 -0 0.0 1.0
10.0 0.10625638809283913 0.0 -0 2.3375778358799617e-7 1.0
11.0 0.10466084330772993 0.0 -0 1.7358203379381707e-6 1.0
12.0 0.10208655704459 1.6066560884508498e-6 -0 8.527073536674056e-6 1.0
13.0 0.09836985397091991 3.565455292111932e-6 1.14572e-07 3.629394958499308e-5 1.0
14.0 0.09376949531422356 1.3328878141845181e-5 3.39006e-07 0.00010756522704066363 1.0
15.0 0.08853919196410397 3.969962035939335e-5 5.77458e-07 0.0002714006002614389 1.0
16.0 0.08330225024582176 9.786319372096805e-5 1.54868e-06 0.0005741837962045673 1.0
17.0 0.0784369120985563 0.00020577611269504255 5.413e-06 0.0010853363319166358 1.0
18.0 0.07376396032402265 0.0004167832697362463 1.48103e-05 0.0017517976224233984 1.0
19.0 0.06937069906024089 0.0006520354888927108 3.47526e-05 0.0023507071929227455 1.0
20.0 0.06510749024525347 0.0008760450350134519 7.61951e-05 0.002724258974809134 1.0
21.0 0.06029842549297101 0.0009546329895560039 0.000168075 0.002707708206868868 1.0
22.0 0.05437155989553553 0.0009741811969155535 0.000332061 0.0022332449934200503 1.0
23.0 0.04711540822814396 0.0008971726139788768 0.000541959 0.0015180551124214796 1.0
24.0 0.0386521279552164 0.0008319891274075217 0.000808978 0.0008554433404022215 1.0
25.0 0.029431546138892244 0.0007427650642031757 0.00107384 0.0003989350297739421 1.0
26.0 0.02053290188350095 0.0006734330324145477 0.00128415 0.00015600757142661636 1.0
27.0 0.012844092039356502 0.000638919389153537 0.00138184 4.626635785541063e-5 1.0
28.0 0.007216900650582208 0.0006416645655089336 0.00139554 1.1232166127447672e-5 1.0
29.0 0.0035379609574296114 0.0006891761697857176 0.001338 2.77288279352316e-6 1.0
30.0 0.0015022886288529938 0.0007898664027354133 0.00127241 5.191176063355374e-7 1.0
31.0 0.0005469831814791911 0.000901094404533482 0.00120389 5.768114018376356e-8 1.0
32.0 0.00017108217458587638 0.0009979398268066422 0.00114648 0.0 1.0
33.0 4.211794675934669e-5 0.0010613599025898104 0.00109176 0.0 1.0
34.0 7.814842396570021e-6 0.001082557514710944 0.00107974 0.0 1.0
35.0 4.619500684419676e-7 0.0011152266415780634 0.0010723 0.0 1.0
36.0 2.299611008904431e-7 0.001106922843422351 0.00109991 0.0 1.0
37.0 0.0 0.0011050194038213822 0.001083 0.0 1.0
38.0 0.0 0.0010890432577521773 0.00107891 0.0 1.0
39.0 0.0 0.001059617140940553 0.00107934 0.0 0.9998558319271557
40.0 0.0 0.0010892645903057916 0.00108246 0.0 0.9969447933120279
41.0 0.0 0.001080192110796038 0.00108888 0.0 0.9943696305484174
42.0 0.0 0.0010640641843742851 0.00106974 0.0 0.9909527013440843
43.0 0.0 0.0010772486920820605 0.00106418 0.0 0.9859352649791967
44.0 0.0 0.0010585806629391202 0.00107428 0.0 0.9808633846102708
45.0 0.0 0.00106579007266234 0.00105699 0.0 0.9780369010519319
46.0 0.0 0.001070409720556006 0.0010626 0.0 0.9734379224744706
47.0 0.0 0.0010557980690888765 0.00105243 0.0 0.9700964956806811
48.0 0.0 0.001033087727496768 0.00102018 0.0 0.9602158052319034
49.0 0.0 0.0009666521381453456 0.000984008 0.0 0.9153691157822528
50.0 0.0 0.0007790433469550479 0.000782831 0.0 0.7283062795435497
51.0 0.0 0.0004163963508250529 0.000414949 0.0 0.39156258894182483
52.0 0.0 0.0001271294465742891 0.000128122 0.0 0.12622745107029018
53.0 0.0 1.8807230597776356e-5 1.48694e-05 0.0 0.019444261177144734
54.0 0.0 0.0 1.14132e-07 0.0 0.0003004782762497268
