     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 0.0510402 0.00238083 0.0643064 0.00215105 0.103432 0.00332494 0.153468 0.00490614 -0.177113 0.00367516 -0.251109 0.00249746 -0.166241 0.00354703 0.138637 0.00672429 0.0849602 0.00380927
6 0.0345837 0.00321427 0.0552929 0.00328731 0.0743943 0.00439318 0.127903 0.00642309 -0.163376 0.0056288 -0.242218 0.00312017 -0.160244 0.00515056 0.140413 0.00756983 0.0716228 0.00510979
50 -0.124219 0.00366505 -0.117461 0.00375819 -0.15168 0.00479152 -0.132028 0.00561788 -0.0136539 0.00776037 -0.193047 0.00478957 -0.0560655 0.0067844 0.199634 0.00735931 -0.0349472 0.00602143
