     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 -0.0777382 0.008341 -0.0852028 0.00790266 0.029015 0.00825496 0.0353394 0.00956163 -0.242492 0.0111173 -0.251588 0.00980893 -0.198068 0.0149272 -0.191474 0.0140159 -0.0375708 0.0147826
350 -0.130739 0.00462861 -0.127441 0.00583018 0.00486329 0.00705298 0.00590381 0.00594217 -0.281728 0.00736718 -0.242573 0.00636209 -0.235023 0.00665685 -0.141867 0.00833444 0.18569 0.0131676
450 -0.140625 0.00697133 -0.154571 0.0062996 -0.0179824 0.00797963 -0.0477289 0.00844731 -0.168861 0.0102005 -0.198668 0.00886955 -0.200062 0.00979365 -0.162761 0.00956377 -0.00812005 0.0112905
670 -0.131271 0.00552981 -0.137485 0.00458443 0.000870148 0.00625253 -0.00680691 0.00595873 -0.291553 0.00729851 -0.247837 0.00614602 -0.243897 0.00684286 -0.159603 0.0088568 0.200922 0.0135149
1000 -0.14371 0.00541453 -0.143227 0.0051831 -0.0136251 0.0066322 -0.00519257 0.00708865 -0.297703 0.00562053 -0.246473 0.00661474 -0.23954 0.00697681 -0.147202 0.00901994 0.192293 0.0121192
