     b1           SD        b2          SD         a1          SD       a2        SD       g11        SD       g12        SD       g2        SD       g31        SD       g32        SD
0 0.0368224 0.00681707 0.0325831 0.0064775 0.0751642 0.00833915 0.106573 0.00906759 -0.280036 0.0072143 -0.252081 0.00849941 0.502147 0.0163191 0.0879093 0.0182343 0.176278 0.0126189
140 0.0509735 0.00619978 0.0266911 0.00573979 0.0822311 0.00718146 0.0916106 0.00774668 -0.276403 0.00798946 -0.253208 0.01047 0.503561 0.0163948 0.113809 0.0168915 0.163072 0.014222
510 0.0340092 0.00647648 0.0299539 0.00725767 0.0712003 0.00681213 0.0901481 0.00839183 -0.271722 0.00567051 -0.255082 0.00678301 0.501324 0.0123013 0.0930175 0.0140691 0.169478 0.0103195
1000 0.0357862 0.00574631 0.0284842 0.0056005 0.0739211 0.00689254 0.0929665 0.00761305 -0.278526 0.00560638 -0.249596 0.00874304 0.504042 0.0143582 0.0783714 0.0138319 0.180849 0.0105288
